resource_name,matched_term,label,pmcid,paragraph_text
MAP,MAP,0,PMC10928905,"Mind map of the cancer biomarker research area with indication of the number of documents in each subcategory."
ORDER,ORDER,0,PMC10928905,"We examine data from the CAS Content Collection,105the largest human-curated collection of published scientific information, and analyze the publication landscape of recent research in order to provide insights into the scientific advances in the area."
CORE,CORE,0,PMC10928905,"An extraction of diagnostic and risk markers from this dataset yields 4,160 biomarkers for pancreatic and liver cancers.Table3gives statistics on some core entities and tags related to biomarkers from the dataset."
DX,DX,0,PMC10928905,"Pancreatic cancer Pancreatic Cancer Early Detection Test Recruiting Ruijin Hospital/Burning Rock Dx NCT05556603"
NCT,NCT,1,PMC10928905,"Pancreatic cancer Pancreatic Cancer Early Detection Test Recruiting Ruijin Hospital/Burning Rock Dx NCT05556603"
ATLAS,ATLAS,0,PMC10928905,"The Human Genome Project78and The Cancer Genome Atlas (TCGA) project79provided valuable insights into the genetic mutations and alterations associated with various cancers."
TCGA,TCGA,1,PMC10928905,"The Human Genome Project78and The Cancer Genome Atlas (TCGA) project79provided valuable insights into the genetic mutations and alterations associated with various cancers."
TCGA,The Cancer Genome Atlas,1,PMC10928905,"The Human Genome Project78and The Cancer Genome Atlas (TCGA) project79provided valuable insights into the genetic mutations and alterations associated with various cancers."
ATLAS,ATLAS,0,PMC10928905,"Protein biomarkers detectable in blood or other body fluids also include tissue/cell-specific proteins that have enhanced levels in body fluids as compared to normal, e.g., PSA in the blood plasma of prostate cancer patients.19Proteome characterization in cancer has been recently assessed by two initiatives, the Clinical Proteomic Tumor Analysis Consortium111and the Human Protein Atlas.112"
HPA,Human Protein Atlas,1,PMC10928905,"Protein biomarkers detectable in blood or other body fluids also include tissue/cell-specific proteins that have enhanced levels in body fluids as compared to normal, e.g., PSA in the blood plasma of prostate cancer patients.19Proteome characterization in cancer has been recently assessed by two initiatives, the Clinical Proteomic Tumor Analysis Consortium111and the Human Protein Atlas.112"
Transformer,Transformer,0,PMC12125710,"Brandes et al., BERT (188) 106M Protein derived from UniProtKB/UniRef90 Zhang et al., BERT (449) 556,603 Protein Sequences from UniProt Zhang et al. Transformer (418) TCGA Data, and PBMC Data Prihoda et al. RoBERTa (422) 160GB of text"
