resource_name,matched_alias,label,article_topic_match,pmcid,paragraph_text
BRENDA,BRENDA,0,False,PMC12055084,"Conceptualization: Brenda Nakitto, Felix Bongomin."
BRENDA,BRENDA,0,False,PMC12055084,"Data curation: Brenda Nakitto, Felix Bongomin."
BRENDA,BRENDA,0,False,PMC12055084,"Investigation: Brenda Nakitto, Felix Bongomin, Ingrid Ampeire, Lauryn Nsenga."
BRENDA,BRENDA,0,False,PMC12093863,"Concept and design: Tatiana Fernandez Trokhimtchouk, Álvaro Morillo Cox, Diego Viteri Cevallos, Jose Samaniego, Brenda Santamaria, Vicente Peñaherrera"
BRENDA,BRENDA,0,False,PMC12093863,"Acquisition, analysis, or interpretation of data: Tatiana Fernandez Trokhimtchouk, Álvaro Morillo Cox, Diego Viteri Cevallos, Jose Samaniego, Brenda Santamaria, Vicente Peñaherrera"
BRENDA,BRENDA,0,False,PMC12063303,"This work was supported under public notices 010/2021 (PIBIC—CNPq/UFSM; scholarship to Brenda Dutra Guterres), 003/2022 (FIPE—JÚNIOR/UFSM, scholarship to Emilly Renk Mello), 002/2024 (FIPE—SENIOR/UFSM, scholarship to Anna Carolina Oliveira Machado), and financial code 001 (CAPES/PROSUP, master’s scholarship to Myllena Fernandes)."
BRENDA,BRENDA,0,False,PMC11882153,"Concept and design: Pratik Parikh, Brenda Stanley"
BRENDA,BRENDA,0,False,PMC11882153,"Acquisition, analysis, or interpretation of data: Pratik Parikh, Brenda Stanley"
BRENDA,BRENDA,0,False,PMC11882153,"Drafting of the manuscript: Pratik Parikh, Brenda Stanley"
BRENDA,BRENDA,0,False,PMC11882153,"Critical review of the manuscript for important intellectual content: Pratik Parikh, Brenda Stanley"
BRENDA,BRENDA,0,False,PMC11737461,"Concept and design: Huber Díaz, Brenda V. Ventura Trujeque, Héctor A. Ancona Pérez, Ricardo A. Millán Flores"
