resource_name,matched_alias,label,article_topic_match,pmcid,paragraph_text
CIViC,CIViC,0,False,PMC12120376,"Confidence in institutions is a key predictor of civic honesty, yet evidence shows that this relationship varies across contexts and individuals."
CIViC,CIViC,0,False,PMC12120376,"We hypothesised that for individuals high in PDO, confidence in institutions could backfire and be linked to the rejection of civic honesty."
CIViC,CIViC,0,False,PMC12048768,"For Asian American young adults, along with other racially minoritized groups, it is possible that racial discrimination may heighten their awareness of social and racial inequities and subsequently inspire civic action (Wong et al., 2011 )."
CIViC,CIViC,0,False,PMC12048768,"The Sociopolitical Development Theory (Watts et al., 2003 ) argues that racial discrimination can strengthen understanding of racial injustice and encourage civic action from the affected individuals (Hope & Jagers, 2014 )."
CIViC,CIViC,0,False,PMC12048768,"For example, perceptions of inequity or experiences of discrimination increased involvement in civic activities among Asian Americans (Lui et al., 2022 ; Park et al., 2024 ; Wong et al., 2011 )."
CIViC,CIViC,0,False,PMC11920674,"Community‐level health partnerships are key not just for crisis response, but also for challenging divisive and exclusionary forms of citizenship, service delivery, and governance, and for building more just and emancipatory models of civic identity, social welfare, and state–society relations—health workers being potential agents of revolutionary change."
CIViC,CIViC,0,False,PMC11920674,"In a context where decades of conflict and structural violence had crystallised divisive and exclusionary models of civic identity, service delivery, and governance, new partnerships between former MoHS and ECBHO health workers were particularly significant."
CIViC,CIViC,0,False,PMC11920674,"It then details research findings, showing: how social welfare systems in Myanmar historically (re)produced divisive and exclusionary ideas of civic identity; how health workers from different systems have established new partnerships and solidarity since the 2021 coup; how experiences of and responses to suffering have been crucial to building solidarity and moral community; and how the latter has contributed to processes of revolutionary change by (re)shaping constructions of civic identity, social welfare, and governance ‘from below’."
CIViC,CIViC,0,False,PMC12076452,"GAS also correlated with significant societal benefits, including reduced harassment (OR = 0.693; P = 0.0078) and increased civic participation (OR = 1.339; P = 0.0005)."
CIViC,CIViC,0,True,PMC11951863,"Our results are consistent with similar studies that have examined the relationships between civic engagement and breast and cervical cancer screening, as well as religious service attendance and cancer screening ( Moudatsou et al., 2014 ; Hill et al., 2006 ; Salmoirago-Blotcher et al., 2011 )."
CIViC,CIViC,0,True,PMC11892607,"The development of the PCC NCRA went through a multistep process that started from the identification of key stakeholders in cancer research in the Philippines including representatives of national government agencies, specialty cancer centers and training institutions, academe and research institutions, civic society and professional organizations, and development partners."
CIViC,CIViC,0,True,PMC11840202,"In the Philippines, the National Cancer Research Agenda sought to diversify stakeholders in its design, including civic and professional organizations such as CARE Ph and CerviQ."
CIViC,CIViC,1,True,PMC12078457,"This study evaluates GPT-4o, Llama 3.1, and Qwen 2.5 in classifying genetic variants from the OncoKB and CIViC databases, as well as a real-world dataset derived from FoundationOne CDx reports."
CIViC,CIViC,1,True,PMC12078457,Stability analysis across 100 iterations revealed greater consistency with the CIViC system than with OncoKB.
OncoKB,OncoKB,1,True,PMC12078457,"This study evaluates GPT-4o, Llama 3.1, and Qwen 2.5 in classifying genetic variants from the OncoKB and CIViC databases, as well as a real-world dataset derived from FoundationOne CDx reports."
OncoKB,OncoKB,1,True,PMC12078457,Stability analysis across 100 iterations revealed greater consistency with the CIViC system than with OncoKB.

CIViC,CIViC,1,True,PMC12078457,"This is exemplified by the OncoKB and CIViC databases, which rely on specialized committees and expert crowdsourcing, respectively 8 , 9 ."
CIViC,CIViC,1,True,PMC12078457,"We instructed the LLMs to classify genetic variants using the CIViC classification system, following the system prompts detailed in Supplementary Table 3 (Variant classification (CIViC level of evidence system)—Basic prompt)."
CIViC,CIViC,1,True,PMC12078457,"Other widely used frameworks include the ESMO Scale for Clinical Actionability of Molecular Targets (ESCAT), the OncoKB level of evidence classification, and the Clinical Interpretation of Variants in Cancer (CIViC) evidence levels 5 , 8 - 10 ."
OncoKB,OncoKB,1,True,PMC12078457,"Other widely used frameworks include the ESMO Scale for Clinical Actionability of Molecular Targets (ESCAT), the OncoKB level of evidence classification, and the Clinical Interpretation of Variants in Cancer (CIViC) evidence levels 5 , 8 - 10 ."
CIViC,CIViC,1,True,PMC12034796,The statistics also indicate that RCT reports and registered trials cover a much higher number of populations and interventions than guidelines and CIViC because the integrated clinical trial data is not limited to cancer patients.
CIViC,CIViC,1,True,PMC12034796,"Interventions Interventions Therapies Total 129,119 5,631,219 1,543,754 6273 Unique CUIs 15,852 68,738 3994 418 Currently, the database includes (1) digital clinical guidelines extracted from the content management system (CMS) of the German Guideline Program in Oncology (GGPO), (2) abstracts and metadata of randomized controlled trials (RCTs) from PubMed , (3) registered clinical trials from ClinicalTrials.gov , as well as (4) curated assertions from CIViC , as a precision oncology knowledge base (POKB) for the clinical classification of cancer variants."
CIViC,CIViC,1,True,PMC12034796,"Alternatives to CIViC include OncoKB 49 , My Cancer Genome 50 , and Jax-Ckb 51 ."
OncoKB,OncoKB,1,True,PMC12034796,"Alternatives to CIViC include OncoKB 49 , My Cancer Genome 50 , and Jax-Ckb 51 ."
CIViC,CIViC,1,True,PMC11762447,"Table 1 Differences between the individual MTBs in terms of structure and remuneration in the USA, Japan, Germany, Finland, Denmark and Italy USA Japan Germany Finland Denmark Italy Structure Decentralized, variable by institution Centralized, in large hospitals Integrated into the healthcare system National network of cancer centers Advisory, national network of cancer centers Regionalized, network of cancer centers Remuneration Private insurance, various models National health insurance, fixed fees Statutory health insurance, flat rates per case Public financing, uniform fees Public health insurance, fixed fees Regional health services, mixed financing Evidence levels – C-CAT levels NCT levels (Heidelberg, Augsburg) – Own ESCAT, OncoKB Tools cBioPortal ClinVar, OncoKB, gnomAD, COSMIC, CIViC cBioPortal/MIRACUM-Pipe (Augsburg, Freiburg), Knowledge Connector (Augsburg, Heidelberg) – Locally populated knowledge databases OncoKB Meetings Bi-monthly (MTB) Weekly Weekly Weekly (+ ad hoc) Bi-weekly/Weekly Weekly–monthly C-Cat center for cancer genomics and advanced therapeutics, NCT national center for tumor diseases, ESCAT european society for medical oncology scale for clinical actionability of molecular targets, COSMIC catalogue of somatic mutations in cancer, CIViC clinical interpretation of variants in cancer"
CIViC,CIViC,1,True,PMC11762447,"C-Cat center for cancer genomics and advanced therapeutics, NCT national center for tumor diseases, ESCAT european society for medical oncology scale for clinical actionability of molecular targets, COSMIC catalogue of somatic mutations in cancer, CIViC clinical interpretation of variants in cancer"
CIViC,CIViC,1,True,PMC11762447,"Table 3 An overview of knowledge databases including their access methods, updates, and the number of entries Database Developer/Institution Access Entries Maintenance OncoKB Memorial Sloan Kettering Cancer Center https://www.oncokb.org/ > 7500 variants Regular (06/2024) ClViC WUSM, St. Louis https://civicdb.org/ > 3500 variants Regular (06/2024) Ensembl EBI https://www.ensembl.org/ > 10 million variants (structural) Regular (05/2024) Reactome OICR, NYULMC, EMBL-EBI https://reactome.org/ > 2700 human pathways Regular (06/2024) My Cancer Genome Vanderbilt–Ingram Cancer Center https://www.mycancergenome.org/ > 16,800 biomarkers No update since 2021 TARGET Dana–Farber Cancer Institute Commercial platform > 135 manually curated genes Regular GDKD Fred Hutchinson Cancer Research Center, Seattle Not public > 700 gene–drug interactions Not updated since 2015 ClinVar NCBI https://www.ncbi.nlm.nih.gov/clinvar > 1.5 million variants Regular BRCA Exchange ENIGMA consortium https://brcaexchange.org/ > 27,400 BRCA 1/2 variants Regular (01/2024) GnomAD ExAC https://gnomad.broadinstitute.org/ > 730,947 exomes/ > 76,215 genomes Regular (05/2024) NCBI SNP Database NCBI https://www.ncbi.nlm.nih.gov/snp/ > 2 billion submitted SNP Regular WUSM Washington University School of Medicine, NCBI National Center for Biotechnology Information, EBI European Bioinformatics Institute, OICR Ontario Institute for Cancer Research, NYULMC New York University Langone Medical Center, EMBL European Molecular Biology Laboratory, ExAC Exome Aggregation Consortium"
CIViC,CIViC,1,True,PMC11762447,Clinical Interpretation of Variants in Cancer (CIViC) is an expert-led and crowd-sourced knowledge base that provides clinical interpretation of cancer variants developed and maintained by the Washington University School of Medicine St. Louis (WUSM).
CIViC,CIViC,1,True,PMC11762447,"as meta and data files (TSV) MIRACUM-Pipe: processing of aligned omics data variant calling, annotation/ analysis OncoKB CiVIC MyCancerGenome Visualization reports https://.cbioportal.org [ 70 , 71 ] KC SNVs, indel, CNV, SV, gSmVs, Fusion, RNA, etc."
CIViC,CIViC,1,True,PMC11566986,"Databases are separated into three categories described in methods (left column) Name of database Site Category 1 MyCancerGenome www.mycancergenome.org OncoKB www.oncokb.org/ VICC Variant Interpretation of Cancer Consortium https://search.cancervariants.org CIViC https://civicdb.org/welcome Personalized Cancer Therapy (MD Anderson) https://pct.mdanderson.org/ The Jackson Laboratory Clinical Knowledgebase (JAX) https://ckb.jax.org Catalog of Somatic Mutations in Cancer (COSMIC): Cancer gene census https://cancer.sanger.ac.uk/census Category 2 Precision Medicine Knowledgebase https://pmkb.weill.cornell.edu Molecular Match, Inc https://www.molecularmatch.com/solutions/mmportal-clinical-decision-support.html cBioPortal for cancer genomics https://www.cbioportal.org GCD Data Portal https://portal.gdc.cancer.gov/ BBG Lab - Cancer Genome Interpreter/Cancer Biomarker Database https://www.cancergenomeinterpreter.org/home and https://www.cancergenomeinterpreter.org/biomarkers Caterogy 3 Mitelman Database of Chromosome Aberrations and Gene Fusions in Cancer https://mitelmandatabase.isb-cgc.org/ Cancer Therapeutic Drug Portal https://portals.broadinstitute.org/ctrp.v2.1/ Cancer Cell Line Encyclopedia (CCLE) in Depmap Portal https://depmap.org/portal/ intOGen https://www.intogen.org/ DriverDBv4 http://driverdb.bioinfomics.org/ European Variation Archive https://www.ebi.ac.uk/eva GTEX portal https://gtexportal.org/home/gene DoCM and DGIdb http://docm.info and https://www.dgidb.org Tumor Portal http://www.tumorportal.org/ Genecards https://www.genecards.org Cancer Driver Log https://candl.osu.edu Genomics of drug sensitivity https://www.cancerrxgene.org/"
CIViC,CIViC,1,True,PMC11566986,"The consortium gathers data from several well-known sources focused on somatic variants in cancer, including CIViC, JAX-CKB, MMatch, OncoKB, and PMKB."
