resource_name,matched_alias,label,article_topic_match,pmcid,paragraph_text
GXD,GXD,0,False,PMC11466498,Authorship contributions: GXD and SLW conceptualised and designed the study.
GXD,GXD,0,False,PMC11466498,"HT, BL, and GXD contributed to interpreting the results."
GXD,GXD,0,False,PMC11466498,"HT, BL, GXD, and SLW helped in drafting this work."
GXD,GXD,0,False,PMC11466498,"BL, LHQY, and GXD provided input into the analyses, and critically reviewed and modified the manuscript drafts."
GXD,GXD,0,False,PMC11466498,GXD supervised the study project.
GXD,GXD,0,False,PMC9193780,"However, it remains unclear how much these gene-diet interactions (GxDs) affect disease risk in human populations."
GXD,GXD,0,False,PMC9193780,Understanding the contribution of GxDs to variability in disease risk factors is thus critical to guide scientific effort as well as prioritize specific dietary exposures for study.
GXD,GXD,0,False,PMC9193780,We set out to quantify the genome-wide contribution of GxDs to the heritability of multiple cardiometabolic risk factors across a wide range of dietary traits.
GXD,GXD,0,False,PMC9193780,"We conducted a genome-wide GxD interaction study for each combination of 12 cardiometabolic risk factors (e.g., lipids and glycemic traits) and 20 dietary exposures (macronutrients, micronutrients, and food groups)."
GXD,GXD,0,False,PMC9193780,GxD contributions to heritability (mean of 0.1% variance explained across all diet-trait pairs) were much lower than those from genetic main effects (mean of 16.8% variance explained).
GXD,GXD,0,True,PMC11789628,The conserved GxD signature is highlighted with a red bar.
GXD,GXD,0,True,PMC11789628,Red box indicates GxD signature; highlighted amino acids with ≥50% of residues identical to the consensus residue.
GXD,GXD,0,True,PMC11789628,"The ICOPa and ICOPb proteins had no other detectable domains but contained three amino acid residues, called the GxD signature ( Fig."
GXD,GXD,0,True,PMC11789628,"Because the GxD signature in WSD motif–containing proteins was proposed to mediate interactions with ISWI1 in diverse eukaryotes ( Aravind and Iyer 2012 ), we assessed whether this signature is needed to form the ISWI1–ICOP complex."
GXD,GXD,0,True,PMC11789628,ICOPa and ICOPb have two GxDs ( Fig.
GXD,GXD,0,True,PMC10621921,"Such ""gene-by-diet"", or GxD, interactions have been shown to explain, in great part, why a dietary recommendation that is beneficial for one demographic may be ineffective or even deleterious in another [ 7 – 9 ]."
GXD,GXD,0,True,PMC10621921,"Personalized nutritional guidelines are therefore one promising solution to addressing obesity, though constructing such guidelines will require a continued effort towards establishing an in-depth understanding of GxD effects as well as their epigenetic and transcriptomic bases."
GXD,GXD,0,True,PMC10621921,"Despite the clear importance of identifying GxD interactions governing health effects in humans, there are many limitations to studying GxD in human cohorts [ 10 ]."
GXD,GXD,0,True,PMC10621921,"Here we have designed a new experimental paradigm in which we identify GxD changes in gene expression and DNA methylation in a cohort of genetically diverse mouse strains, apply the pathway analysis from those studies to inform a literature-based selection of a predicted strain-specific drug intervention, and assess the molecular and phenotypic consequences of this intervention in a strain-specific manner ( Fig 1A and 1B )."
GXD,GXD,1,True,PMC11075557,"Here, we present an overview of the core data types represented in MGI and highlight recent enhancements to the resource with a focus on new data and functionality for MGD and GXD."
MGD,MGD,1,True,PMC11075557,"Here, we present an overview of the core data types represented in MGI and highlight recent enhancements to the resource with a focus on new data and functionality for MGD and GXD."
GXD,GXD,1,True,PMC11075557,"Both MGD and GXD have been recognized as Global Core Biodata Resources, meeting the criteria of the Global Biodata Coalition for high scientific quality, value, and usage ( https://globalbiodata.org/what-we-do/global-core-biodata-resources/ )."
MGD,MGD,1,True,PMC11075557,"Both MGD and GXD have been recognized as Global Core Biodata Resources, meeting the criteria of the Global Biodata Coalition for high scientific quality, value, and usage ( https://globalbiodata.org/what-we-do/global-core-biodata-resources/ )."
GXD,GXD,1,True,PMC11075557,The Mouse Genome Database (MGD) and the Gene Expression Database (GXD) are core MGI databases that share data and system architecture.
MGD,MGD,1,True,PMC11075557,The Mouse Genome Database (MGD) and the Gene Expression Database (GXD) are core MGI databases that share data and system architecture.
GXD,GXD,1,True,PMC11075557,2021 ) and the Gene Expression Database (GXD) ( Finger et al.
GXD,GXD,1,True,PMC11075557,"GXD curates and integrates expression data from different mouse strains and mutants, with a particular emphasis on endogenous gene expression during mouse development."
GXD,GXD,1,True,PMC11709111,"Because tissue‐specific interactions in mice are unavailable in the current STITCH version, the basal murine hepatic gene expression of the STITCH proteins was queried in the Mouse Genome Informatics (MGI) Gene eXpression Database (GXD) (v6.22) (Baldarelli et al., 2021 ) with assay type: RNA‐seq, sex: male, strain: C57BL/6J, and structure: liver."
GXD,GXD,1,True,PMC11709111,"Out of the 361 proteins in the PDI network, 11 protein entries were not identified in MGI GXD, leaving 350 proteins for basal hepatic expression analysis."
GXD,GXD,1,True,PMC11709111,"Basal hepatic expression, based on Mouse Genome Informatics Gene eXpression Database (MGI GXD) RNA‐seq data, was annotated with node borders wherein solid line indicates expected expression while dotted line indicates not."
GXD,GXD,1,True,PMC8913530,The Mouse Genome Database (MGD) and the Gene Expression Database (GXD) are MGI’s two major knowledgebases.
MGD,MGD,1,True,PMC8913530,The Mouse Genome Database (MGD) and the Gene Expression Database (GXD) are MGI’s two major knowledgebases.
GXD,GXD,1,True,PMC8913530,"2021 ), Gene Expression Database (GXD) (Baldarelli et al."
GXD,GXD,1,True,PMC8913530,"The mouse Gene Expression Database (GXD) collects and integrates different types of gene expression information, with a focus on endogenous gene expression in wild-type and mutant mice."
GXD,GXD,1,True,PMC8913530,"Because GXD is an integral component of the larger MGI system, its expression data are combined with the genetic, functional, and phenotypic data collected by MGD."
MGD,MGD,1,True,PMC8913530,"Because GXD is an integral component of the larger MGI system, its expression data are combined with the genetic, functional, and phenotypic data collected by MGD."
GXD,GXD,1,True,PMC8913530,"For many years, GXD has collected mouse developmental expression data from RNA in situ hybridization, immunohistochemistry, in situ reporter (knock-in) RT-PCR, northern blot, and western blot experiments (Finger et al."
GXD,GXD,1,True,PMC7778941,The Gene Expression Database (GXD; www.informatics.jax.org/expression.shtml ) is an extensive and well-curated community resource of mouse developmental gene expression information.
GXD,GXD,1,True,PMC7778941,"For many years, GXD has collected and integrated data from RNA in situ hybridization, immunohistochemistry, RT-PCR, northern blot, and western blot experiments through curation of the scientific literature and by collaborations with large-scale expression projects."
GXD,GXD,1,True,PMC7778941,"Since our last report in 2019, we have continued to acquire these classical types of expression data; developed a searchable index of RNA-Seq and microarray experiments that allows users to quickly and reliably find specific mouse expression studies in ArrayExpress ( https://www.ebi.ac.uk/arrayexpress/ ) and GEO ( https://www.ncbi.nlm.nih.gov/geo/ ); and expanded GXD to include RNA-Seq data."
