resource_name,matched_alias,label,article_topic_match,pmcid,paragraph_text
InterPro,InterPro,0,False,PMC7900086,"In a first experiment we have benchmarked our implementation against the tools InterProc [43] and Sting [22]."
InterPro,InterPro,0,False,PMC7900086,"InterProc and Sting are each unable to find nearly 40% of the bounds (i.e., supports), meaning they report an infinite reach-space in the corresponding directions."
InterPro,InterPro,0,False,PMC7900086,"In these instances, InterProc (owing to limitations related to widening) and Sting (owing to the absence of tight polyhedral, inductive invariants) are unable to infer finite bounds at all."
InterPro,InterPro,0,False,PMC10910757,"Home healthcare is mostly a complex endeavour because interprofessional collaboration is often challenging"
InterPro,InterPro,0,False,PMC10910757,"The project interprof HOME aims to develop an interprofessional person-centred care concept for people receiving home care in a multistep approach."
InterPro,InterPro,0,False,PMC11778980,Resilient AMS strategies in place pre-pandemic included positive hospital wide AMS culture (organization); system-wide AMS programs (organization); decentralized antimicrobial stewardship (organization); strong interprofessional relationships (organization & person); infectious disease involvement (person); protocols to facilitate pharmacist autonomy (organization & tools and technology) and automated tools to facilitate AMS program activities (tools and technology).
InterPro,InterPro,1,True,PMC11980382,"Gene clusters were then annotated with anvi-run-pfams, which draws on the Pfam (now InterPro) database ( 20 )."
InterPro,InterPro,1,True,PMC9719856,"In this study, we analyzed the phylogenetic tree using all DyP-type peroxidase sequences available in the InterPro database."
InterPro,InterPro,0,True,PMC11353033,"Further enrichment analyses of the 42 genes identified significant overrepresentation of the terms “toxin catabolic process”, “glutathione metabolism” ( Figure 2 D), “interpro-ipr004046 (glutathione S-transferase, C-terminal)”, and “gst” ( Figure 2 E)."
InterPro,InterPro,1,True,PMC11961702,"Gene mRNA Number Percent (%) Number Percent (%) Total 24,730 100 24,730 100 Annotated 24,642 99.64 24,642 99.64 NR 24,598 99.47 24,598 99.47 SwissProt 21,214 85.78 21,214 85.78 TrEMBL 24,582 99.4 24,582 99.4 KOG 19,641 79.42 19,641 79.42 TF 6,183 25 6,183 25 InterPro 23,404 94.64 23,404 94.64 GO 17,696 71.56 17,696 71.56 KEGG_ALL 24,549 99.27 24,549 99.27 KEGG_KO 16,540 66.88 16,540 66.88 Pfam 22,038 89.11 22,038 89.11 Unannotated 88 0.36 88 0.36"
