resource_name,matched_alias,label,article_topic_match,pmcid,paragraph_text
LPSN,LPSN,1,True,PMC11985812,"To address this, our study integrated data from SILVA, NCBI, and LPSN databases, extracting V3-V4 region sequences and supplementing them with 16S rRNA sequences from 1,082 human gut samples."
LPSN,LPSN,1,True,PMC11985812,The seed sequences were sourced from two authoritative databases: LPSN (List of Prokaryotic names with Standing in Nomenclature) and the NCBI (National Center for Biotechnology Information) RefSeq database.
LPSN,LPSN,1,True,PMC11985812,"For the LPSN database, all species and subspecies listed on the LPSN website 1 were considered ( Parte et al., 2020 )."
LPSN,LPSN,1,True,PMC11985812,"The 16S rRNA gene reference sequences for each of the selected species and subspecies ( n = 16,713) were downloaded from their respective LPSN webpages."
LPSN,LPSN,1,True,PMC12044192,"For that reason, the List of Prokaryotic names with Standing in Nomenclature (LPSN) presented the etymology of the name as N.L."
LPSN,LPSN,1,True,PMC12044192,"n. Marivivens , living in the sea ( https://lpsn.dsmz.de/search?word=Marivivens , accessed 27 March 2025), assigning the masculine or the feminine gender to the generic name."
LPSN,LPSN,1,True,PMC12044192,LPSN gives both adjectival epithets as N.L.
LPSN,LPSN,1,True,PMC12044192,"( https://lpsn.dsmz.de/species/marivivens-donghaensis and https://lpsn.dsmz.de/species/marivivens-geojensis , accessed 27 March 2025)."
LPSN,LPSN,1,True,PMC11984215,A phylogenetic tree constructed with 14 Anaerococcus species from the LPSN indicated that AH8042_DFU013_CI05 is evolutionarily distinct from other known Anaerococcus species ( Fig.
LPSN,LPSN,0,True,PMC11520294,"This study aimed to elucidate the anti-biofilm properties of L. plantarum and L. rhamnosus cell-free supernatants (LPSN and LRSN, respectively) on S. pyogenes biofilms grown in vitro in supplemented minimal medium."
LPSN,LPSN,0,True,PMC11520294,"When planktonic or biofilm S. pyogenes were exposed to LPSN or LRSN , S. pyogenes survival was reduced significantly in a concentration-dependent manner, and the effect was more pronounced on preformed biofilms."
LPSN,LPSN,0,True,PMC11520294,Enzymatic digestion of LPSN and LRSN suggested that glycolipid compounds might cause the antimicrobial effect.
LPSN,LPSN,0,True,PMC11520294,"Adding lactic acid to S. pyogenes 5448 cell-free spent medium adjusted to pH 4.5 (GASSN-LA) to a concentration comparable to the one present in L. plantarum and L. rhamnosus cell-free supernatants (LPSN and LRSN) in MRS (140 mM) showed a significant reduction of viable S. pyogenes 5448 recovered from 72-hour-old biofilms, albeit lower than with MRS-derived LPSN or LRSN ( Fig."
LPSN,LPSN,0,True,PMC11520294,Lactic acid concentration and biofilm treatment with 5% LPSN or LRSN grown in different growth media.
LPSN,LPSN,1,True,PMC11701647,"In its current release Bac Dive shows data on 20 060 type strains, covering 98% of the 20 510 validly described species ( https://lpsn.dsmz.de/text/numbers )."
LPSN,LPSN,1,True,PMC11701647,"The increase in type strain coverage in Bac Dive from just 81% in 2021 to 98% in 2024 could be achieved through improved data exchange with one of its sister databases, the List of Prokaryotic names with Standing in Nomenclature (LPSN) ( 10 )."
