resource_name,matched_alias,label,article_topic_match,pmcid,paragraph_text
NCT,ClinicalTrials.gov,1,True,PMC12142505,"CLL11 ( ClinicalTrials.gov identifier: NCT01010061) is an international, multicentric, open-label, randomized phase 3 study."
NCT,NCT,1,True,PMC12142505,"CLL11 ( ClinicalTrials.gov identifier: NCT01010061) is an international, multicentric, open-label, randomized phase 3 study."
NCT,ClinicalTrials.gov,1,True,PMC12142505,"Of the patients who had received G-Clb or R-Clb as part of the CLL11 study, a subset of n = 35 was further followed up in a national registry of the German CLL Study Group ( ClinicalTrials.gov identifier: NCT02863692) after the end of the study in August 2017."
NCT,NCT,1,True,PMC12142505,"Of the patients who had received G-Clb or R-Clb as part of the CLL11 study, a subset of n = 35 was further followed up in a national registry of the German CLL Study Group ( ClinicalTrials.gov identifier: NCT02863692) after the end of the study in August 2017."
NCT,ClinicalTrials.gov,1,True,PMC12066250,"ClinicalTrials.gov , identifier NCT06644794."
NCT,NCT,1,True,PMC12066250,"ClinicalTrials.gov , identifier NCT06644794."
NCT,ClinicalTrials.gov,1,True,PMC12123748,"Results may be reported to clinicaltrials.gov, as required."
NCT,ClinicalTrials.gov,1,True,PMC12006599,The primary outcome is the change in urine albumin–creatinine ratio after 6 months of treatment with finerenone (nsMRA) and empagliflozin (SGLT2i) in combination compared with each drug alone (ClinicalTrials.gov ID NCT05254002) [ 45 ].
NCT,NCT,1,True,PMC12006599,The primary outcome is the change in urine albumin–creatinine ratio after 6 months of treatment with finerenone (nsMRA) and empagliflozin (SGLT2i) in combination compared with each drug alone (ClinicalTrials.gov ID NCT05254002) [ 45 ].
NCT,ClinicalTrials.gov,1,True,PMC12006599,The SUGARNSALT study (ClinicalTrials.gov ID NCT06217302) aims to provide efficacy and safety data to seek US Food and Drug Administration (FDA) approval of sotagliflozin for the prevention of kidney function decline in individuals with type 1 diabetes and diabetic kidney disease (DKD).
NCT,NCT,1,True,PMC12006599,The SUGARNSALT study (ClinicalTrials.gov ID NCT06217302) aims to provide efficacy and safety data to seek US Food and Drug Administration (FDA) approval of sotagliflozin for the prevention of kidney function decline in individuals with type 1 diabetes and diabetic kidney disease (DKD).
NCT,ClinicalTrials.gov,1,True,PMC11992869,ClinicalTrials.gov (ID NCT05965544).
NCT,NCT,1,True,PMC11992869,ClinicalTrials.gov (ID NCT05965544).
NCT,ClinicalTrials.gov,1,True,PMC11688028,ClinicalTrials.gov served as the primary data source for this review.
NCT,ClinicalTrials.gov,1,True,PMC11688028,"Data from http://clinicaltrials.gov as of November 10, 2023."
NCT,ClinicalTrials.gov,1,True,PMC11688028,"Secondly, the completeness and quality of data extracted from ClinicalTrials.gov may vary, potentially impacting the reliability of findings."
NCT,ClinicalTrials.gov,1,True,PMC11688028,The data from ClinicalTrials.gov provide a foundational resource for advancing HD management.
NCT,ClinicalTrials.gov,1,True,PMC11811455,"The study complied with the Declaration of Helsinki, was approved by the university ethics committee (project number: 18–059), and was registered on clinicaltrials.gov (NCT05153694)."
