resource_name,matched_alias,label,article_topic_match,pmcid,paragraph_text
HGNC,HGNC,0,True,PMC12072397,HGNC:29665 (MALAT1) ICAV miR-204/ SMAD4 Promotes differentiation of osteoblasts and osteocytes [ 58 ]
HGNC,HGNC,0,True,PMC12072397,HGNC:30080 (POM121L9P) MSC miR-503-5p/ SORBS1 Inhibits osteoblast differentiation [ 60 ]
HGNC,HGNC,0,True,PMC11514484,"Adding to the picture, several of the METTLs, in particular the lysine-specific MTases (KMTs), have had their HGNC approved nomenclature updated to use more informative symbols."
HGNC,HGNC,0,True,PMC7291430,HGNC:9642 5770 PTPN1 PTP1B 10 20q13.13
HGNC,HGNC,0,True,PMC7291430,HGNC:9650 5771 PTPN2 TCELLPTP 15 18p11.21
HGNC,HGNC,0,True,PMC7291430,HGNC:9655 5774 PTPN3 PTPH1 33 9q31
HGNC,HGNC,0,True,PMC5627054,"MFSD1 SMAP4 HGNC:25874 514aa plasma membrane [ 19 ] and lysosomes [ 39 , 41 ]"
HGNC,HGNC,0,True,PMC5627054,MFSD2A NLS1 HGNC:25897 TC: 2.A.2.3.8 543aa plasma membrane [ 42 ] and ER [ 37 ] sodium-dependent phospholipid transport [ 43 ]
HGNC,HGNC,0,True,PMC5627054,MFSD2B HGNC:37207 504aa ER [ 37 ]
HGNC,HGNC,0,True,PMC5627054,MFSD3 HGNC:25157 TC: 2.A.1.25.4 412aa plasma membrane [ 19 ]
HGNC,HGNC,0,True,PMC5627054,MFSD4A MFSD4 HGNC:25433 514aa
HGNC,HGNC,0,True,PMC7239855,"HGNC ID: 6876 hsa-miR-17-5p LINC00116, LINC00657 (NORAD), PWAR6, SNHG14, XIST, C1orf132, TMEM161B-AS1, HCG11"
HGNC,HGNC,0,True,PMC5240558,"Nuclear respiratory factor 1, or NRF1, is also known as ALPHA-PAL, HGNC: 7996, Ensembl:ENSG00000106459, UniProtKB: Q16656."
HGNC,HGNC,0,True,PMC4451017,"It should be noted that occasionally, a HGNC ‘synonyms’ can be associated to multiple HGNC ‘approved symbols’."
HGNC,HGNC,0,True,PMC4451017,"To avoid confusion, HGNC ‘synonyms’ are removed from the HGNC database stored in PANDA if they mapped to more than one HGNC approved symbol."
HGNC,HGNC,0,True,PMC5291222,"To determine ER stress we analyzed the presence of GRP78 (HSPAS (HGNC: 5238)), XBP-1(s) (spliced XBP-1) (XBP1 (HGNC: 12801)) and CHOP (DDIT3 (HGNC: 2726)) and three ER sensors ATF6 (ATF6 (HGNC: 791)), PERK (EIF2AK3 (HGNC: 3255)) and IREIα (ERN1 (HGNC: 3449)), Surfactant protein C (SPC) (UCN3 (HGNC: 17781)) with real time PCR."
HGNC,HGNC,0,True,PMC5753237,1100[hgnc].
HGNC,HGNC,0,True,PMC5753237,1100[hgnc].
HGNC,HGNC,0,True,PMC7998618,Only transcripts with a matched HGNC symbol were kept.
HGNC,HGNC,0,True,PMC5723324,"According to HGNC, they are either solute carriers (coded as SLC) or ATP-binding cassette transporters (coded as ABC)."
