resource_name,matched_alias,label,article_topic_match,pmcid,paragraph_text
KEGG,KEGG,0,True,PMC12117765,"FunFEA provides several functions to build KOG, GO, and KEGG pathway models from publicly available annotations."
KEGG,KEGG,0,True,PMC12059380,(C) Description of DEGs co-enriched by KEGG pathway and GO terminology.
KEGG,KEGG,0,True,PMC12059380,The enrichment of important DEGs in the KEGG pathway and GO terminology is shown.
KEGG,KEGG,0,True,PMC12059380,(C) Description of DEGs co-enriched by KEGG pathway and GO terminology.
KEGG,KEGG,0,True,PMC12084529,"GO enrichment, KEGG pathway analyses and Western blotting verification demonstrated that alliin up-regulates the expression of Low-density lipoprotein receptor (LDLR) ( P < 0.05) and apolipoprotein C (ApoC) ( P < 0.05) while down-regulating the expression of apolipoprotein B (ApoB) ( P < 0.05) to regulate the cholesterol metabolism pathway of the ox-LDL-injured HUVECs."
KEGG,KEGG,0,True,PMC12084529,"The KEGG mapper (V2.5 http://www.kegg.jp/kegg/mapper.html ) matches the annotated proteins into the associated pathways, and then the significance of pathway enrichment was identified by a two-tailed Fisher’s exact test 16 – 18 ."
KEGG,KEGG,0,True,PMC12084529,"As previously stated, the KEGG pathway enrichment analysis revealed that differentially expressed proteins in the Alliin/Mod group were significantly enriched in eight signaling pathways, three of which were associated with cardiovascular disease treatment, including the PPAR signaling pathway, steroid biosynthesis, and cholesterol metabolism."
KEGG,KEGG,0,True,PMC12084529,"6 KEGG pathway enrichment bubble plot of differentially expressed proteins in Alliin/Mod group, the vertical axis was the functional classification or pathway, and the horizontal axis value was the Log2 converted value of the differential protein fold enrichment 16 – 18 ."
KEGG,KEGG,0,True,PMC12005058,(G) KEGG-enriched bubble map of the propofol group.
KEGG,KEGG,0,True,PMC12005058,(H) KEGG-enriched bubble plot for the alcohol group.
KEGG,KEGG,0,True,PMC12005058,p value corrected p < 0.05 was used as the screening criterion to further analyze the GO function and KEGG pathway enrichment.
KEGG,KEGG,0,True,PMC12005058,The DAVID database was used to perform GO and KEGG pathway enrichment analyses and visualization of potential targets.
KEGG,KEGG,0,True,PMC12071124,"Subsequently, the DEGs were subjected to an enrichment analysis of GO functions and KEGG pathways with p ≤ 0.05 as the threshold."
KEGG,KEGG,0,True,PMC11813010,KEGG enrichment analysis revealed enrichment of the NAFLD pathway.
KEGG,KEGG,0,True,PMC11813010,"Using the 24 therapeutic targets, we conducted GO and KEGG enrichment analyses."
KEGG,KEGG,0,True,PMC12095171,"Subsequently, GO and KEGG enrichment analyses were performed on these DEGs."
KEGG,KEGG,0,True,PMC12095171,"The KEGG enrichment analysis demonstrated that pathways related to photosynthesis, metabolism, and secondary metabolites were significantly upregulated across multiple time points."
KEGG,KEGG,0,True,PMC11747353,"By KEGG functional enrichment analysis, individuals from the eastern and middle regions mainly regulated energy metabolism and metabolism of other amino acids; and those from the western region mainly regulated biosynthesis of other secondary metabolites and carbohydrate metabolism."
KEGG,KEGG,0,True,PMC11747353,KEGG functional enrichment analysis was carried out based on the DEGs between heavy‐drought treatment versus control for each region.
KEGG,KEGG,0,True,PMC11747353,"To explore the drought response mechanisms of S. krylovii , KEGG functional annotation analysis was carried out for DCGs between heavy‐drought treatment versus control within the three regions."
KEGG,KEGG,1,True,PMC11793806,The Kyoto encyclopedia of genes and genomes (KEGG) enrichment analysis serves as a valuable practical resource for investigating gene functions and associated high-level genomic information.
KEGG,KEGG,1,True,PMC11793806,"20 In the results of GO and KEGG analyses, down-regulated genes were found to be enriched in functional pathways related to cellular responses to growth factor stimuli, responses to growth factors, and blood vessel development."
KEGG,KEGG,1,True,PMC11793806,"To investigate the biological functions of these DEGs,GO andKEGG pathway enrichment analyses were conducted on 1962 upregulated genes and 642 downregulated genes associated with PAH, utilizing the Metascape online tool."
KEGG,KEGG,1,True,PMC11793806,"The leading KEGG pathways identified were herpes simplex virus 1 infection for upregulated genes and pathways in cancer for downregulated genes ( Figure 2D , F )."
KEGG,KEGG,1,True,PMC11793806,"The results of the KEGG analysis and MCODE estimation indicated that the cellular response to growth factor stimulus, response to growth factor, and blood vessel development were the top pathways affected in the down-regulated genes associated with PAH."
KEGG,KEGG,1,True,PMC12117765,"It supports COG/KOG (Clusters of Orthologous Genes), GO (Gene Ontology), and KEGG (Kyoto Encyclopedia of Genes and Genomes) annotations, and generates background frequency models from publicly available annotations for overrepresentation analysis, within a set of experimentally defined genes or proteins."
KEGG,KEGG,1,True,PMC12117765,"Several well-established annotation frameworks facilitate this process, including the eukaryotic-centric euKaryotic Orthologous Groups (KOG) [ 1 ], Gene Ontology (GO) [ 2 ], and Kyoto Encyclopedia of Genes and Genomes (KEGG) [ 3 ]."
KEGG,KEGG,1,True,PMC12117765,"KOG offers orthology-based protein classifications, GO organizes gene products within a structured hierarchical framework, and KEGG assigns genes to known metabolic and signaling pathways, thereby enabling pathway-based analyses."
KEGG,KEGG,1,True,PMC12117765,"Designed for seamless integration into bioinformatics workflows, FunFEA can be used downstream of differential expression tools such as DESeq2 [ 13 ] or edgeR [ 14 ], enabling enrichment analysis of gene lists based on KOG, GO, and KEGG terms."
KEGG,KEGG,1,True,PMC12059380,(B) Kyoto Encyclopedia of Genes and Genomes (KEGG) enrichment analysis of DEGs.
KEGG,KEGG,1,True,PMC12059380,(B) Kyoto Encyclopedia of Genes and Genomes (KEGG) enrichment analysis of DEGs.
KEGG,KEGG,1,True,PMC12084529,"Finally, functional enrichment analysis of the differential proteins in the Alliin/Mod group was performed using Gene Ontology (GO) enrichment and KEGG pathway analysis."
KEGG,KEGG,1,True,PMC12005058,"DESeq2 software was used to identify differentially expressed transcripts and genes, setting |log 2 (fold change)| >1 as the threshold, and KEGG and GO enrichment analyses were performed."
KEGG,KEGG,1,True,PMC12071124,"For functional annotation analysis, the assembled unigenes were aligned to databases including the National Center for Biotechnology Information non-redundant protein (Nr) database ( http://www.ncbi.nlm.nih.gov , accessed on 2 April 2022), the Swiss-Prot protein database ( http://www.expasy.ch/sprot , accessed on 2 April 2022), the Kyoto Encyclopedia of Genes and Genomes (KEGG) database ( http://www.genome.jp/kegg , accessed on 2 April 2022), and the Cluster of Orthologous Groups (COG/KOG) database ( http://www.ncbi.nlm.nih.gov/COG , accessed on 2 April 2022) by blastx ( E < 10 −5 )."
KEGG,KEGG,1,True,PMC12071124,"Specifically, 17,918 unigenes were annotated in the Nr database, 11,132 in the Swiss-Prot database, 10,040 in the KOG database, and 17,200 in the KEGG database."
KEGG,KEGG,1,True,PMC12071124,"Moreover, GPX3 and CYP2L1 emerged as key genes prominently associated with four enriched KEGG pathways: arachidonic acid metabolism, linoleic acid metabolism, thyroid hormone synthesis, and inflammatory mediator regulation of TRP channels ( Figure 2 B)."
KEGG,KEGG,1,True,PMC12071124,"In addition, the most significantly enriched KEGG pathways were DNA replication and cell cycle ( Figure 2 B), where the expression level of the related genes was significantly upregulated ( Figure 3 )."
KEGG,KEGG,1,True,PMC11813010,"The intersection targets were then subjected to protein–protein interaction network analysis, Kyoto encyclopedia of genes and genomes (KEGG) enrichment analysis, and gene ontology enrichment analysis."
KEGG,KEGG,1,True,PMC11813010,"A total of 24 intersection target genes were obtained from both drug- and disease-related databases, with 6 genes enriched in the KEGG NAFLD pathway."
KEGG,KEGG,1,True,PMC11813010,This analysis should encompass both the Kyoto encyclopedia of genes and genomes (KEGG) pathway and gene ontology (GO) enrichment.
