resource_name,matched_alias,label,article_topic_match,pmcid,paragraph_text
Reactome,Reactome,0,True,PMC12090728,Reactome includes viral life cycles that capture a broad range of virus-induced human pathology.
Reactome,Reactome,0,True,PMC12090728,Reactome represents the molecular details of these processes as the properties of the nodes and edges of a graph database.
Reactome,Reactome,0,True,PMC12090728,"Reactome’s annotations are meticulously curated by PhD-level scientists and peer-reviewed by field experts, ensuring high-quality data to support translational research and aid in the discovery of clinically actionable targets in various diseases."
Reactome,Reactome,0,True,PMC11944036,"However, to our knowledge, the Reactome knowledgebase has not been utilized to develop these types of predictive models."
Reactome,Reactome,0,True,PMC11303191,"Enrichment was done using the Reactome database (A) and the Gene Ontology database for biological processes (B) , molecular function (C) and cell components (D) ."
Reactome,Reactome,0,True,PMC11303191,"Enrichment was performed using the Reactome database (A) and the Gene Ontology database for biological processes (B) , molecular function (C) and cell components (D) ."
Reactome,Reactome,0,True,PMC11611169,"Next, the “Functional Annotation Tool” was selected and “Gene Ontology” and “Reactome” options were checked."
Reactome,Reactome,0,True,PMC11149494,(B) GSEA results of Reactome respiratory chain electron transport chain.
Reactome,Reactome,0,True,PMC11149494,(C) GSEA results of the Reactome tricarboxylic acid cycle and the electron transport chain of the respiratory chain.
Reactome,Reactome,0,True,PMC11149494,(E) GSEA results for Reactome mitochondrial translation.
Reactome,Reactome,0,True,PMC11149494,REACTOME_RESPIRATORY_ELECTRON_TRANSPORT 2.418664381 1E‐10 3.57143 e‐08 3.06917 e‐08
Reactome,Reactome,0,True,PMC11149494,REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT 2.291825812 1E‐10 3.57143 e‐08 3.06917 e‐08
Reactome,Reactome,0,True,PMC11853888,"( c ) Functional enrichment analysis of 35 HMEV-relevant proteins against GO biological process, KEGG, and reactome."
Reactome,Reactome,0,True,PMC10537976,"By employing gene ontology (GO) analysis and REACTOME analysis, our goal was to clarify the induction process of senescence and identify “true"" key factors that could serve as universal markers for senescent cells."
Reactome,Reactome,0,True,PMC10537976,"To further investigate the function of SASP, we conducted an in-depth study using REACTOME analysis, which allows for the identification of significant signaling circuits in protein datasets."
Reactome,Reactome,0,True,PMC10537976,5 REACTOME analysis of SASP classified by time series.
Reactome,Reactome,0,True,PMC10537976,C The main outcomes of the REACTOME analysis are summarized.
Reactome,Reactome,0,True,PMC10537976,REACTOME analysis of SASP classified by time series.
