resource_name,matched_alias,label,article_topic_match,pmcid,paragraph_text
VEuPathDB,VEuPathDB,0,True,PMC11075537,"As an integral part of the VEuPathDB Bioinformatics Resource Center ( https://veupathdb.org ), FungiDB continually integrates both published and unpublished data addressing various aspects of fungal biology."
VEuPathDB,VEuPathDB,0,True,PMC11075537,"Moreover, FungiDB offers capabilities for private data analysis via the integrated VEuPathDB Galaxy platform."
VEuPathDB,VEuPathDB,0,True,PMC11075537,"Supported by the US National Institutes of Allergy and Infectious Diseases (NIAID) and the Wellcome Trust UK, VEuPathDB ( https://veupathdb.org ) is recognized as a Global Core Biodata Resource ( https://globalbiodata.org/what-we-do/global-core-biodata-resources/ )."
VEuPathDB,VEuPathDB,0,True,PMC10767879,"Since 2004, VEuPathDB has analyzed omics data from the public domain using contemporary bioinformatic workflows, including orthology predictions via OrthoMCL, and integrated the analysis results with analysis tools, visualizations, and advanced search capabilities."
VEuPathDB,VEuPathDB,0,True,PMC10767879,A Galaxy workspace offers the opportunity for the analysis of private large-scale datasets and for porting to VEuPathDB for comparisons with integrated data.
VEuPathDB,VEuPathDB,0,True,PMC10767879,"To address the growing body of omics data and advances in laboratory techniques, VEuPathDB has added several new data types, searches and features, improved the Galaxy workspace environment, redesigned the MapVEu interface and updated the infrastructure to accommodate these changes."
VEuPathDB,VEuPathDB,0,True,PMC11840555,"Cell atlases (such as the Human Cell Atlas, the Malaria Cell Atlas [ 4 ], the cell atlases made available via VEuPathDB [ 17 ], and the SchistoCyte Atlas [ 18 ]) help the field of single-cell transcriptomics overcome analysis bottlenecks, facilitating effective collaboration between biologists and bioinformaticians by visualizing single-cell datasets via single-cell browsers."
VEuPathDB,VEuPathDB,0,True,PMC11840555,paraCell links cell atlases to external databases: currently available options are NCBI and VEuPathDB.
VEuPathDB,VEuPathDB,0,True,PMC11840555,The raw fastq files were mapped with Cellranger (version 7.0.0) against a combined reference of T. gondii (version 59 VEuPathDB) and mouse (version GRCH38_mm10_ensemble93).
VEuPathDB,VEuPathDB,0,True,PMC11840555,The raw fastq files were mapped with Cellranger (version 7.0.0) against a combined reference of T. annulata (Ankara) (version 59 VEuPathDB) and Bos taurus genome from Ensembl (version CowARS-UCD1.2_UTR).
VEuPathDB,VEuPathDB,0,True,PMC11223846,The web server provides an easy-to-use pipeline for reference-based annotation with pre-compiled reference genomes derived from VEuPathDB ( 13 ).
VEuPathDB,VEuPathDB,0,True,PMC11223846,"The target and reference species, along with their VEuPathDB release numbers, are shown in Supplementary Table S2 ."
VEuPathDB,VEuPathDB,0,True,PMC11223846,"We ran a series of jobs with matching input genomes on both Companion and GenSAS, aiming to compare annotation outputs to a canonical annotation obtained from VEuPathDB."
VEuPathDB,VEuPathDB,0,True,PMC11223846,"To converge on a good breadth and high-quality reference dataset, we chose the reference genomes from VEuPathDB."
VEuPathDB,VEuPathDB,0,True,PMC11447126,"Like the BV-BRC, VEuPathDB, is a large bioinformatic resource center that has resulted from several mergers."
VEuPathDB,VEuPathDB,0,True,PMC11447126,"These resources are much more modest in scope than the BV-BRC or VEuPathDB, but they have exerted themselves to supply or present extra information on virulence factors in a way the larger databases have not."
VEuPathDB,VEuPathDB,0,True,PMC11825125,"Hence, for the in silico structural prediction of protein, the sequence of orthologs explored within the genome of L. donovani’s BPK strain in reference to mammals was retrieved from the VEuPathDB ( https://veupathdb.org/veupathdb/app , last accessed 15 November 2024)."
VEuPathDB,VEuPathDB,0,True,PMC9888696,TriTrypDB ( https://tritrypdb.org ) is a free online resource for data mining of genomic and functional data from these kinetoplastid parasites and is part of the VEuPathDB Bioinformatics Resource Center ( https://veupathdb.org ).
VEuPathDB,VEuPathDB,0,True,PMC9888696,All our bioinformatics tools and resources are maintained in the VEupathDB GitHub repository: https://github.com/VEuPathDB .
VEuPathDB,VEuPathDB,0,True,PMC9888696,"Beyond TriTrypDB, VEuPathDB also provides resources for other eukaryotic protist parasites (Apicomplexa, Amoeba, Giardia, etc."
VEuPathDB,VEuPathDB,1,True,PMC11075537,"FungiDB ( https://fungidb.org ) is a component of the Eukaryotic Pathogen, Vector and Host Informatics Resources (VEuPathDB; Stajich et al ."
VEuPathDB,VEuPathDB,1,True,PMC11075537,"VEuPathDB empowers users to browse, query, and mine genomic-scale datasets spanning a diverse range of organisms, including hosts, invertebrate vectors of human disease, eukaryotic microbes, pathogenic and nonpathogenic species, environmental and epidemiological studies ( https://clinepidb.org/ ; Ruhamyankaka et al ."
VEuPathDB,VEuPathDB,1,True,PMC10767879,"The Eukaryotic Pathogen, Vector and Host Informatics Resource (VEuPathDB, https://veupathdb.org ) is a Bioinformatics Resource Center funded by the National Institutes of Health with additional funding from the Wellcome Trust."
VEuPathDB,VEuPathDB,1,True,PMC10767879,"VEuPathDB supports >600 organisms that comprise invertebrate vectors, eukaryotic pathogens (protists and fungi) and relevant free-living or non-pathogenic species or hosts."
VEuPathDB,VEuPathDB,1,True,PMC11840555,CELLxGENE is used in VEuPathDB [ 17 ] to host single-cell datasets derived from parasites and their hosts.
VEuPathDB,VEuPathDB,1,True,PMC11223846,"This ensures that users are not restricted to reference genomes hosted on the web server, which is currently restricted to genomes available at VEuPathDB."
VEuPathDB,VEuPathDB,1,True,PMC11447126,"There are some longstanding databases devoted to exploring microbial pathogens, including the bacterial and viral bioinformatics resource center (BV-BRC) 13 and Eukaryotic Pathogen, Vector and Host Informatics Resource (VEuPathDB)."
VEuPathDB,VEuPathDB,1,True,PMC11447126,"14 Eukaryotic pathogens are extraordinarily diverse, and VEuPathDB does a wonderful job of grappling with the profusion of species."
