resource_name,matched_alias,label,article_topic_match,pmcid,paragraph_text
dbVar,dbVar,0,True,PMC11893795,"Of the 1857 gene-disruptive SVs, 1167 were previously reported in the dbVar database of SVs, while 690 were absent, of which 513 (74%) are uniquely African (Fig."
dbVar,dbVar,0,True,PMC11893795,"Of the 1167 dbVar-reported gene-disruptive SVs, 14 (1.2%) were recorded in ClinVar, with three reported as ‘pathogenic’ or ‘likely pathogenic’ based on functional prediction consensus."
dbVar,dbVar,0,True,PMC11893795,"Table 1 Candidate potentially pathogenic (PP) SVs identified in 170 PCa patients Genes Gene impact type 1 1stChr pos1 2ndChr pos2 SV type ClinVar / dbVar concordance MAF African (this study) MAF African (control) 2 MAF European (this study) MAF African (dbVar) 3 MAF European (dbVar) 3 Potentially Pathogenic SV (PP-SV) SLC3A1 IED chr2 44281377 chr2 44281612 DUP L-pathogenic 0.01 4 0 0 0.0075 1.3e-04 OCA2 pLoF chr15 28017719 chr15 28020677 DEL L-pathogenic 0.004 0.02 0 0.0015 0.001 PIGN pLoF chr18 62152637 chr18 62157701 DEL Pathogenic 0.004 0 0 0.0013 1.3e-04 SLC7A2 pLoF chr8 17418976 chr8 17544122 DEL In dbVar 0.009 0 0 0.003 0 DNAJC15 pLoF chr13 43078470 chr13 43079390 DEL In dbVar 0 0 0.009 0 1.0e-04 BCL2L11 pLoF chr2 111122626 chr2 111125901 DEL This study 0.005 0 0 NA NA BARD1 pLoF chr2 214768022 chr2 214772899 DEL This study 0.005 0 0 NA NA COL4A2/ COL4A1 CG chr13 110294204 chr13 110633815 DUP In dbVar 0.005 0 0 1.3e-04 6.3e-06 SLC2A5 IED chr1 9045605 chr1 9049441 DUP In dbVar 0 0 0.009 7.3e-04 0.002 FOXP1 pLoF chr3 71097066 chr3 74525618 INV This study 0.009 0 0 NA NA WASF1 pLoF chr6 108167886 chr6 110172775 INV In dbVar 0.004 0 0 9.6e-05 0 MLH1 pLoF chr3 37000362 chr3 39352689 INV In dbVar 0.004 0 0 4e-04 6.4e-06 RB1 pLoF chr13 48466588 chr13 48473911 INV In dbVar 0.004 0 0 1.8e-04 1.3e-05 CTNNA1 pLoF chr5 138903881 chr19 21614900 TRA This study 0 0 0.009 NA NA AK8-DST pLoF chr9 132876361 chr6 56896165 TRA This study 0 0 0.009 NA NA PP-SV candidates classified as ‘cautionary’ LTBP1/BIRC6 CG chr2 32403832 chr2 33107415 DUP In dbVar 0 0 0.009 1.0e-04 0.0018 PHC3-PRKACA pLoF chr3 170090742 chr19 14110142 TRA This study 0.004 0 0 NA NA KCTD3-DST pLoF chr1 215567414 chr6 56652607 TRA This study 0.009 0 0 NA NA PKHD1 pLoF chr6 51981375 chr15 30874073 TRA This study 0.009 0 0 NA NA CG copy gain, chr chromosome, DEL deletion, DUP duplication, IED intragenic exon duplication, INV inversion, L-pathogenic Likely pathogenic, MAF minor allele frequency, pLoF potentially loss-of-function, pos position, TRA translocation."
dbVar,dbVar,0,True,PMC11893795,3 The ancestry-related MAF in dbVar were based on gnomAD 32 or TOPMed 42 SV study.
dbVar,dbVar,0,True,PMC11893795,The details of all dbVar studies (dbVar study name and ID) and reported allele frequencies were shown in Supplementary Data 1 .
dbVar,dbVar,0,True,PMC11764475,"The clinical meaning of these intervals (LCR22A-D, LCR22A-B, and LCR22A-C) is also well-documented by ClinGen ( https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/ ) (accessed on 28 November 2024), a publicly available resource that collects evidence supporting and/or refuting the “dosage sensitivity” (DS) for genomic regions and provides a “haploinsufficiency” (HI) DS score."
dbVar,dbVar,0,True,PMC11764475,"Nested deletions, flanked by LCR22B-D, LCR22B-C, or LCR22C-D, are very rare and collectively described as “ central deletions ” with a HI DS score of 2, corresponding to “emerging evidence for haploinsufficiency” ( https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/ ) (accessed on 28 November 2024) ( Figure 1 )."
dbVar,dbVar,0,True,PMC11764475,"A crucial step for classifying a CNV is to verify if it overlaps with any established or predicted HI score gene, and, in particular, with any gene associated with dominantly inherited disorders ( https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/ ) (accessed on 28 November 2024) [ 1 ]."
dbVar,dbVar,0,True,PMC11764475,"Only two genes, LZTR (leucine zipper-like transcription regulator 1) and SERPIND 1 (heparin cofactor II), are associated with dominantly inherited disorders and for none of them has the HI score been recorded ( https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/ ) (accessed on 28 November 2024)."
dbVar,dbVar,0,True,PMC11764475,"Even if it reaches a HI score of only 1 (little evidence of pathogenicity), CRLK (CRK like proto-oncogene, adaptor protein) is the most interesting gene, according to studies in mice and humans ( https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/ ) (accessed on 28 November 2024) ( Table 1 )."
dbVar,dbVar,0,True,PMC11685779,"Similarly, for disease-related SVs, we used SVs with clinical annotations (“pathogenic” and “benign”) from dbVar (nstd102, 20231012)."
dbVar,dbVar,0,True,PMC11685779,Pathogenic and benign SVs were obtained from dbVar at https://www.ncbi.nlm.nih.gov/dbvar/studies/nstd102/ .
dbVar,dbVar,0,True,PMC10729411,"We found that two common deletions in chromosome 4, located between WDR1 and ZNF518B (23.3 kb, dbVar ID:nssv15888957, 4:10211262–10,234,569 and 9.8 kb, dbVar ID:nssv15888975, 4:10392422–10,402,191), were associated with uric acid levels (P = 5.23 × 10 − 11 and 2.29 × 10 − 8 , respectively)."
dbVar,dbVar,0,True,PMC10729411,"We also discovered a novel deletion spanning chromosome 18 (823 bp, dbVar ID: nssv15841628, 8:74347187–74,348,010) associated with low HDL cholesterol levels (P = 4.15 × 10 − 7 )."
dbVar,dbVar,0,True,PMC10729411,"These deletions have standard dbVar IDs and replicate previous findings, as well as reveal novel loci that require further replication studies."
dbVar,dbVar,0,True,PMC10729411,"After association analysis, we restricted analysis to CNDs with confirmed and comparable population allele frequencies reported in gnomAD SV database [ 9 ] and reported in dbVar [ 20 ]."
dbVar,dbVar,0,True,PMC10729411,"A common 23.3 kb deletion in chromosome 4 (dbVar ID:nssv15888957, 4:10211262–10,234,569) with deletion allele frequency 0.69 (0.68 among gnomAD Europeans) was associated with reduced uric acid levels, whereas adjacent common 9.8 kb deletion in chromosome 4 (dbVar ID:nssv15888975, 4:10392422–10,402,191) with deletion allele frequency 0.24 (0.25 among gnomAD Europeans) was associated with elevated uric acid levels (Fig."
dbVar,dbVar,0,True,PMC11701645,"Both categories are exchanged with dbSNP and dbVar at NCBI ( 3 ), respectively."
dbVar,dbVar,0,True,PMC10803213,"In ClinVar, as in dbVar–repository dedicated to SVs larger than 50 bp ( https://www.ncbi.nlm.nih.gov/dbvar/ )—most of the pathogenic and/or likely pathogenic SVs are CNVs ( Fig S1B )."
dbVar,dbVar,0,True,PMC10803213,"TSC1 and TSC2 are no exception, with only 156 and 60 insertions in ClinVar and 1 insertion in TSC1 in dbVar."
dbVar,dbVar,1,True,PMC12085603,The datasets analysed during the current study are available in the International Genome Sample Resource ( http://www.internationalgenome.org/data-portal/data-collection/structural-variation ) and dbVar repository ( https://www.ncbi.nlm.nih.gov/dbvar/studies/nstd152/ ).
dbVar,dbVar,1,True,PMC11701645,"Short variants such as single nucleotide variants (SNVs) and small-scale insertions and deletions (INDELs) are exchanged with the NCBI dbSNP ( 3 ), and large structural variations (>50 bp) are exchanged with the NCBI dbVar ( 6 )."
dbVar,dbVar,1,True,PMC10803213,"The spectrum of causal genetic variations so far reported in ClinVar and dbVar encompasses SNVs, indels small and large CNVs and small insertions and inversions ( Fig S1 )."
dbVar,dbVar,1,True,PMC11765253,It catalogues all genetic variations from dbSNP and dbVar that have been noted to have clinical significance [ 59 ].
dbVar,dbVar,1,True,PMC11765253,"dbVar was created in 2004 to gather the data about copy number variation, insertions, deletions, and translocations longer than 50 bp [ 12 , 61 ]."
